starttimes,endtimes
2017-06-15T02:48:37Z,2017-06-15T02:51:09Z
2017-06-15T02:48:43Z,2017-06-15T02:51:02Z
2017-06-15T02:48:58Z,2017-06-15T02:51:04Z
2017-06-15T02:49:10Z,2017-06-15T02:51:10Z
2017-06-15T03:13:40Z,2017-06-15T03:14:30Z
2017-06-15T04:39:40Z,2017-06-15T04:41:00Z
2017-06-15T04:42:50Z,2017-06-15T04:43:50Z
2017-06-15T05:16:50Z,2017-06-15T05:18:20Z
2017-06-15T05:28:50Z,2017-06-15T05:29:40Z
2017-06-15T05:36:10Z,2017-06-15T05:37:30Z
2017-06-15T05:49:20Z,2017-06-15T05:50:10Z
2017-06-15T06:34:50Z,2017-06-15T06:36:10Z
2017-06-15T06:43:20Z,2017-06-15T06:44:30Z
2017-06-15T07:04:10Z,2017-06-15T07:05:00Z
2017-06-15T07:19:20Z,2017-06-15T07:20:50Z
2017-06-15T07:21:20Z,2017-06-15T07:22:30Z
2017-06-15T07:42:00Z,2017-06-15T07:42:50Z
2017-06-15T07:59:00Z,2017-06-15T08:00:10Z
2017-06-15T07:59:40Z,2017-06-15T08:00:40Z
2017-06-15T08:02:20Z,2017-06-15T08:03:10Z
2017-06-15T08:02:40Z,2017-06-15T08:03:30Z
2017-06-15T08:04:50Z,2017-06-15T08:06:10Z
2017-06-15T08:25:30Z,2017-06-15T08:26:40Z
2017-06-15T16:19:40Z,2017-06-15T16:21:00Z
2017-06-15T17:48:00Z,2017-06-15T17:48:50Z
2017-06-15T19:04:30Z,2017-06-15T19:05:50Z
2017-06-15T19:50:00Z,2017-06-15T19:51:20Z
2017-06-15T20:45:30Z,2017-06-15T20:46:20Z
2017-06-15T22:12:10Z,2017-06-15T22:13:00Z
2017-06-15T23:04:30Z,2017-06-15T23:05:40Z
2017-06-16T01:13:40Z,2017-06-16T01:14:40Z
2017-06-16T02:33:20Z,2017-06-16T02:34:10Z
2017-06-16T03:51:00Z,2017-06-16T03:51:50Z
2017-06-16T03:51:30Z,2017-06-16T03:52:20Z
2017-06-16T06:04:10Z,2017-06-16T06:05:00Z
2017-06-16T07:57:20Z,2017-06-16T07:58:20Z
2017-06-16T08:07:00Z,2017-06-16T08:08:30Z
2017-06-16T13:05:30Z,2017-06-16T13:06:30Z
2017-06-16T13:58:20Z,2017-06-16T13:59:20Z
2017-06-16T17:52:30Z,2017-06-16T17:53:20Z
2017-06-16T18:00:20Z,2017-06-16T18:01:30Z
2017-06-16T21:17:10Z,2017-06-16T21:18:20Z
2017-06-16T21:19:50Z,2017-06-16T21:20:40Z
2017-06-16T21:20:10Z,2017-06-16T21:21:00Z
2017-06-17T02:13:50Z,2017-06-17T02:15:10Z
2017-06-17T05:23:00Z,2017-06-17T05:23:50Z
2017-06-17T07:48:10Z,2017-06-17T07:49:10Z
2017-06-17T08:54:50Z,2017-06-17T08:55:40Z
2017-06-17T11:53:10Z,2017-06-17T11:54:00Z
2017-06-17T14:26:20Z,2017-06-17T14:27:20Z
2017-06-17T14:53:00Z,2017-06-17T14:54:00Z
2017-06-17T17:02:00Z,2017-06-17T17:03:10Z
2017-06-17T17:05:30Z,2017-06-17T17:06:20Z
2017-06-17T18:20:40Z,2017-06-17T18:21:30Z
2017-06-17T18:21:40Z,2017-06-17T18:22:50Z
2017-06-18T08:20:00Z,2017-06-18T08:20:50Z
2017-06-18T09:27:50Z,2017-06-18T09:29:00Z
2017-06-18T13:12:40Z,2017-06-18T13:13:30Z
2017-06-18T15:22:50Z,2017-06-18T15:24:10Z
2017-06-18T16:02:00Z,2017-06-18T16:03:30Z
2017-06-18T16:31:30Z,2017-06-18T16:32:20Z
2017-06-18T16:55:20Z,2017-06-18T16:56:20Z
2017-06-19T01:57:30Z,2017-06-19T01:58:50Z
2017-06-19T02:33:20Z,2017-06-19T02:34:10Z
2017-06-19T06:32:50Z,2017-06-19T06:34:00Z
2017-06-19T08:47:30Z,2017-06-19T08:48:30Z
2017-06-19T14:17:30Z,2017-06-19T14:18:20Z
2017-06-19T14:50:30Z,2017-06-19T14:51:50Z
2017-06-19T15:09:50Z,2017-06-19T15:11:10Z
2017-06-19T22:34:10Z,2017-06-19T22:35:10Z
2017-06-19T23:09:00Z,2017-06-19T23:10:20Z
2017-06-20T00:04:50Z,2017-06-20T00:05:50Z
2017-06-20T01:52:00Z,2017-06-20T01:53:20Z
2017-06-20T08:37:20Z,2017-06-20T08:38:10Z
2017-06-20T08:37:40Z,2017-06-20T08:38:30Z
2017-06-20T09:06:30Z,2017-06-20T09:07:30Z
2017-06-20T09:07:00Z,2017-06-20T09:07:50Z
2017-06-20T14:08:50Z,2017-06-20T14:09:40Z
2017-06-20T14:09:10Z,2017-06-20T14:10:00Z
2017-06-20T18:41:50Z,2017-06-20T18:42:50Z
2017-06-21T05:49:20Z,2017-06-21T05:50:20Z
2017-06-21T07:04:00Z,2017-06-21T07:04:50Z
2017-06-21T08:32:30Z,2017-06-21T08:33:20Z
2017-06-21T08:41:40Z,2017-06-21T08:43:00Z
2017-06-21T09:52:10Z,2017-06-21T09:53:00Z
2017-06-21T09:53:00Z,2017-06-21T09:54:00Z
2017-06-21T13:55:00Z,2017-06-21T13:55:50Z
2017-06-21T13:58:30Z,2017-06-21T13:59:20Z
2017-06-21T15:57:50Z,2017-06-21T15:59:00Z
2017-06-21T16:03:40Z,2017-06-21T16:04:50Z
2017-06-21T16:13:30Z,2017-06-21T16:14:30Z
2017-06-21T16:17:00Z,2017-06-21T16:18:10Z
2017-06-21T16:53:10Z,2017-06-21T16:54:10Z
2017-06-22T08:23:30Z,2017-06-22T08:24:20Z
2017-06-22T13:23:00Z,2017-06-22T13:24:40Z
2017-06-22T16:31:30Z,2017-06-22T16:32:20Z
2017-06-23T05:50:10Z,2017-06-23T05:51:30Z
2017-06-23T06:55:20Z,2017-06-23T06:56:10Z
2017-06-23T07:01:00Z,2017-06-23T07:02:30Z
2017-06-23T08:36:00Z,2017-06-23T08:37:00Z
2017-06-23T11:15:20Z,2017-06-23T11:16:20Z
2017-06-23T16:35:10Z,2017-06-23T16:36:10Z
2017-06-23T18:31:30Z,2017-06-23T18:32:20Z
2017-06-24T05:50:30Z,2017-06-24T05:51:50Z
2017-06-24T09:03:40Z,2017-06-24T09:04:30Z
2017-06-24T09:06:30Z,2017-06-24T09:07:20Z
2017-06-24T09:06:50Z,2017-06-24T09:07:40Z
2017-06-24T13:17:10Z,2017-06-24T13:18:10Z
2017-06-24T14:44:00Z,2017-06-24T14:44:50Z
2017-06-24T14:49:30Z,2017-06-24T14:50:50Z
2017-06-24T16:24:30Z,2017-06-24T16:25:30Z
2017-06-24T16:36:00Z,2017-06-24T16:37:10Z
2017-06-25T04:46:30Z,2017-06-25T04:48:10Z
2017-06-25T04:47:40Z,2017-06-25T04:48:50Z
2017-06-25T05:04:20Z,2017-06-25T05:05:20Z
2017-06-25T06:01:50Z,2017-06-25T06:03:00Z
2017-06-25T06:13:40Z,2017-06-25T06:14:30Z
2017-06-25T06:41:50Z,2017-06-25T06:42:40Z
2017-06-25T06:42:10Z,2017-06-25T06:43:10Z
2017-06-25T07:00:00Z,2017-06-25T07:01:10Z
2017-06-25T07:04:40Z,2017-06-25T07:05:30Z
2017-06-25T07:13:30Z,2017-06-25T07:14:50Z
2017-06-25T07:50:10Z,2017-06-25T07:51:50Z
2017-06-25T08:07:00Z,2017-06-25T08:08:00Z
2017-06-25T08:07:30Z,2017-06-25T08:08:20Z
2017-06-25T10:24:30Z,2017-06-25T10:25:30Z
2017-06-25T10:26:30Z,2017-06-25T10:27:30Z
2017-06-25T16:45:50Z,2017-06-25T16:46:40Z
2017-06-25T16:46:10Z,2017-06-25T16:47:00Z
2017-06-25T17:06:10Z,2017-06-25T17:07:30Z
2017-06-25T19:05:10Z,2017-06-25T19:06:00Z
2017-06-26T10:08:50Z,2017-06-26T10:09:40Z
2017-06-26T12:10:10Z,2017-06-26T12:11:00Z
2017-06-26T12:21:30Z,2017-06-26T12:22:30Z
2017-06-26T12:45:00Z,2017-06-26T12:46:00Z
2017-06-26T12:45:30Z,2017-06-26T12:46:20Z
2017-06-26T18:03:40Z,2017-06-26T18:05:00Z
2017-06-26T18:20:20Z,2017-06-26T18:21:40Z
2017-06-26T21:10:30Z,2017-06-26T21:11:40Z
2017-06-26T21:11:30Z,2017-06-26T21:12:20Z
2017-06-26T22:30:20Z,2017-06-26T22:32:30Z
2017-06-27T04:59:50Z,2017-06-27T05:00:40Z
2017-06-27T10:23:30Z,2017-06-27T10:24:20Z
2017-06-27T10:39:50Z,2017-06-27T10:40:40Z
2017-06-27T14:25:10Z,2017-06-27T14:26:30Z
2017-06-27T16:26:00Z,2017-06-27T16:26:50Z
2017-06-27T16:26:20Z,2017-06-27T16:27:10Z
2017-06-27T21:01:20Z,2017-06-27T21:03:00Z
2017-06-27T21:22:00Z,2017-06-27T21:23:20Z
2017-06-27T21:25:00Z,2017-06-27T21:26:20Z
2017-06-27T22:01:50Z,2017-06-27T22:03:40Z
2017-06-27T23:29:40Z,2017-06-27T23:31:10Z
2017-06-28T00:14:00Z,2017-06-28T00:14:50Z
2017-06-28T00:14:20Z,2017-06-28T00:15:20Z
2017-06-28T03:48:20Z,2017-06-28T03:49:10Z
2017-06-28T09:45:40Z,2017-06-28T09:46:50Z
